year,make,model,body_styles,trim_data,image_sources
2020,Acura,ILX,['Sedan'],"{'Sedan': {'Base Style': {'Combined Fuel Economy': '28 MPG', 'Seating': 'Seats 5', 'Horsepower': '201 @ 6800 RPM HP', 'Engine': '4-Cyl, i-VTEC, 2.4 Liter'}, 'Premium Pkg': {'Combined Fuel Economy': '28 MPG', 'Seating': 'Seats 5', 'Horsepower': '201 @ 6800 RPM HP', 'Engine': '4-Cyl, i-VTEC, 2.4 Liter'}, 'Technology Pkg': {'Combined Fuel Economy': '28 MPG', 'Seating': 'Seats 5', 'Horsepower': '201 @ 6800 RPM HP', 'Engine': '4-Cyl, i-VTEC, 2.4 Liter'}, 'Premium & A-SPEC Pkgs': {'Combined Fuel Economy': '28 MPG', 'Seating': 'Seats 5', 'Horsepower': '201 @ 6800 RPM HP', 'Engine': '4-Cyl, i-VTEC, 2.4 Liter'}, 'Technology & A-SPEC Pkgs': {'Combined Fuel Economy': '28 MPG', 'Seating': 'Seats 5', 'Horsepower': '201 @ 6800 RPM HP', 'Engine': '4-Cyl, i-VTEC, 2.4 Liter'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/CP/13221/2020-Acura-ILX-front_13221_032_1837x765_SX_cropped.png?interpolation=high-quality&downsize=391:*'}
2020,Acura,MDX,['SUV'],"{'SUV': {'SH-AWD w/Advance & Entertainment Pkgs': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 6'}, 'SH-AWD w/Technology & A-Spec Pkgs': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 7'}, 'SH-AWD w/Technology Pkg': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 7'}, 'SH-AWD': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 7'}, 'Base w/Technology Pkg': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 7'}, 'Base Style': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 7'}, 'Base w/Advance Pkg': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 6'}, 'SH-AWD w/Advance Pkg': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 6'}, 'SH-AWD w/Technology & Entertainment Pkgs': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '22 MPG', 'Seating': 'Seats 7'}}}",{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12361/2020-Acura-MDX-360SpinFrame_12361_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2020,Acura,MDX Sport Hybrid,['SUV'],"{'SUV': {'SH-AWD w/Technology Pkg': {'Combined Fuel Economy': '27 MPG', 'Seating': 'Seats 7', 'Horsepower': '321 @ 6300 RPM HP', 'Engine': 'V6, Hybrid, i-VTEC, 3.0 Liter'}, 'SH-AWD w/Advance Pkg': {'Combined Fuel Economy': '27 MPG', 'Seating': 'Seats 6', 'Horsepower': '321 @ 6300 RPM HP', 'Engine': 'V6, Hybrid, i-VTEC, 3.0 Liter'}}}",{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/evox/CP/12992/2020-Acura-MDX%20Sport%20Hybrid-front_12992_032_1846x845_GY_cropped.png?interpolation=high-quality&downsize=391:*'}
2020,Acura,NSX,['Coupe'],"{'Coupe': {'SH-AWD': {'Combined Fuel Economy': '21 MPG', 'Seating': 'Seats 2', 'Engine': 'V6, Hybrid, Twin Turbo, 3.5 Liter'}}}",{'Coupe': 'https://file.kelleybluebookimages.com/kbb/base/house/2020/2020-Acura-NSX-FrontSide_ACNSX2001_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2020,Acura,RDX,['SUV'],"{'SUV': {'SH-AWD w/A-SPEC Pkg': {'Horsepower': '272 @ 6500 rpm HP', 'Engine': '4-Cyl, VTEC, Turbo, 2.0 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 5'}, 'Base w/Advance Pkg': {'Horsepower': '272 @ 6500 rpm HP', 'Engine': '4-Cyl, VTEC, Turbo, 2.0 Liter', 'Combined Fuel Economy': '24 MPG', 'Seating': 'Seats 5'}, 'SH-AWD': {'Horsepower': '272 @ 6500 rpm HP', 'Engine': '4-Cyl, VTEC, Turbo, 2.0 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 5'}, 'Base w/Technology Pkg': {'Horsepower': '272 @ 6500 rpm HP', 'Engine': '4-Cyl, VTEC, Turbo, 2.0 Liter', 'Combined Fuel Economy': '24 MPG', 'Seating': 'Seats 5'}, 'Base Style': {'Horsepower': '272 @ 6500 rpm HP', 'Engine': '4-Cyl, VTEC, Turbo, 2.0 Liter', 'Combined Fuel Economy': '24 MPG', 'Seating': 'Seats 5'}, 'Base w/A-SPEC Pkg': {'Horsepower': '272 @ 6500 rpm HP', 'Engine': '4-Cyl, VTEC, Turbo, 2.0 Liter', 'Combined Fuel Economy': '24 MPG', 'Seating': 'Seats 5'}, 'SH-AWD w/Advance Pkg': {'Horsepower': '272 @ 6500 rpm HP', 'Engine': '4-Cyl, VTEC, Turbo, 2.0 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 5'}, 'SH-AWD w/Technology Pkg': {'Horsepower': '272 @ 6500 rpm HP', 'Engine': '4-Cyl, VTEC, Turbo, 2.0 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 5'}}}",{'SUV': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12875/2020-Acura-RDX-360SpinFrame_12875_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2020,Acura,RLX,['Sedan'],"{'Sedan': {'Base Style': {'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 5', 'Horsepower': '310 @ 6500 RPM HP', 'Engine': 'V6, i-VTEC, 3.5 Liter'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/CP/12480/2020-Acura-RLX-front_12480_032_1831x722_GY_cropped.png?interpolation=high-quality&downsize=391:*'}
2020,Acura,RLX Sport Hybrid,['Sedan'],"{'Sedan': {'SH-AWD': {'Combined Fuel Economy': '28 MPG', 'Seating': 'Seats 5', 'Horsepower': '377 @ 6500 RPM HP', 'Engine': 'V6, Hybrid, i-VTEC, 3.5 Liter'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/CP/12568/2020-Acura-RLX%20Sport%20Hybrid-front_12568_032_1834x729_GZ_cropped.png?interpolation=high-quality&downsize=391:*'}
2020,Acura,TLX,['Sedan'],"{'Sedan': {'3.5 w/Advance Pkg': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 5'}, '2.4 w/Technology Pkg': {'Horsepower': '206 @ 6800 rpm HP', 'Engine': '4-Cyl, i-VTEC, 2.4 Liter', 'Combined Fuel Economy': '27 MPG', 'Seating': 'Seats 5'}, '3.5 w/Technology Pkg': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '24 MPG', 'Seating': 'Seats 5'}, '3.5': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '24 MPG', 'Seating': 'Seats 5'}, '2.4 w/Technology Pkg & A-SPEC Pkg': {'Horsepower': '206 @ 6800 rpm HP', 'Engine': '4-Cyl, i-VTEC, 2.4 Liter', 'Combined Fuel Economy': '26 MPG', 'Seating': 'Seats 5'}, '3.5 w/Technology Pkg & A-SPEC Pkg': {'Horsepower': '290 @ 6200 rpm HP', 'Engine': 'V6, i-VTEC, 3.5 Liter', 'Combined Fuel Economy': '23 MPG', 'Seating': 'Seats 5'}, '2.4': {'Horsepower': '206 @ 6800 rpm HP', 'Engine': '4-Cyl, i-VTEC, 2.4 Liter', 'Combined Fuel Economy': '27 MPG', 'Seating': 'Seats 5'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/ExtSpP/12057/2020-Acura-TLX-360SpinFrame_12057_032_2400x1800.png?interpolation=high-quality&downsize=391:*'}
2020,Alfa Romeo,4C Spider,['Convertible'],"{'Convertible': {'Base Style': {'Combined Fuel Economy': '28 MPG', 'Seating': 'Seats 2', 'Horsepower': '237 @ 6000 RPM HP', 'Engine': '4-Cyl, Turbo, 1.7 Liter'}}}",{'Convertible': 'https://file.kelleybluebookimages.com/kbb/base/house/2020/2020-Alfa%20Romeo-4C%20Spider-FrontSide_AL4CS2001_640x480.jpg?interpolation=high-quality&downsize=391:*'}
2020,Audi,A3,['Sedan'],"{'Sedan': {'Premium': {'Combined Fuel Economy': '30 MPG', 'Seating': 'Seats 5', 'Horsepower': '184 @ 4400 RPM HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter'}, 'Premium Plus': {'Combined Fuel Economy': '30 MPG', 'Seating': 'Seats 5', 'Horsepower': '184 @ 4400 RPM HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter'}, 'S line Premium': {'Combined Fuel Economy': '25 MPG', 'Seating': 'Seats 5', 'Horsepower': '228 @ 4500 RPM HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter'}, 'S line Premium Plus': {'Combined Fuel Economy': '25 MPG', 'Seating': 'Seats 5', 'Horsepower': '228 @ 4500 RPM HP', 'Engine': '4-Cyl, Turbo, 2.0 Liter'}}}",{'Sedan': 'https://file.kelleybluebookimages.com/kbb/base/evox/CP/14203/2020-Audi-A3-front_14203_032_1815x776_0E_cropped.png?interpolation=high-quality&downsize=391:*'}
